,Title,Duration,Rating,Voting,Genre
88, ZEF: The Story of Die Antwoord,1h 53m,7.3,1000.0,Documentary
89, The Commandant's Shadow,1h 16m,8.3,1700.0,Documentary
90, Giannis: The Marvelous Journey,2h 59m,7.1,2100.0,Documentary
91, The Beach Boys,1h 50m,6.2,4000.0,Documentary
92, Einstein and the Bomb,1h 30m,7.2,5800.0,Documentary
93, The Roast of Tom Brady,1h 33m,6.6,191000.0,Documentary
94, El Apocalipsis de San Juan,2h,5.2,22000.0,Documentary
95, The Last Keeper,4h 42m,4.7,357000.0,Documentary
96, Emma and Eddie: A Working Couple,1h 48m,9.4,80000.0,Documentary
97, Just a Bit Outside: The Story of the 1982 Milwaukee Brewers,,8.2,531000.0,Documentary
98, Aliens Expanded,,8.1,42000.0,Documentary
99, The Propagandist,,,,Documentary
